CensusTractName_x,DisplayText_x,Key,ParentText_x,ThemeRangeId_x,Percent of Black Population,Percent of Native American Population,Percent of White Population,Percent of Hispanic/Latino Population,Percent of Asian/Pacific Islander Population,Percent of Retired Population
,American Samoa,60000,AS,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Guam,66010,GU,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Mariana Islands,69000,MP,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Saint Croix (County Equivalent),78010,VI,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Saint John (County Equivalent),78020,VI,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Saint Thomas (County Equivalent),78030,VI,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,Trujillo Alto,72139,PR,1,0.0,0.0,0.6,99.3,0.0,17.5
,Utuado,72141,PR,1,0.0,0.0,0.5,99.3,0.0,20.0
,Vega Baja,72145,PR,1,0.0,0.0,2.7,97.0,0.0,18.7
,Vieques,72147,PR,1,0.0,0.0,5.6,94.0,0.0,20.8
,Villalba,72149,PR,1,0.0,0.0,0.1,99.7,0.0,15.9
,Yabucoa,72151,PR,1,0.0,0.0,0.0,99.9,0.0,18.6
,Yauco,72153,PR,1,0.0,0.0,0.1,99.7,0.0,20.3
,Rio Grande,72119,PR,1,0.0,0.0,0.5,99.4,0.0,18.6
,Sabana Grande,72121,PR,1,0.0,0.0,0.1,99.8,0.0,21.4
,Salinas,72123,PR,1,0.0,0.0,0.0,99.5,0.4,18.0
,San Germán,72125,PR,1,0.0,0.0,0.5,99.3,0.0,23.0
,San Lorenzo,72129,PR,1,0.0,0.0,0.0,99.8,0.1,17.3
,San Sebastian,72131,PR,1,0.0,0.0,1.6,97.7,0.0,21.6
,Santa Isabel,72133,PR,1,0.0,0.0,0.4,99.5,0.0,15.3
,Toa Alta,72135,PR,1,0.0,0.0,0.4,99.0,0.4,13.0
,Adjuntas,72001,PR,1,0.0,0.0,0.2,99.6,0.0,17.8
,Aguada,72003,PR,1,0.0,0.0,5.4,93.4,0.0,17.2
,Sublette,56035,WY,1,0.0,0.4,89.2,7.3,0.1,16.7
,Uinta,56041,WY,1,0.0,0.7,87.5,9.1,0.1,12.1
,Washakie,56043,WY,1,0.0,0.3,82.0,14.1,0.0,20.7
,Converse,56009,WY,1,0.0,0.0,88.7,7.9,0.1,15.5
,Lincoln,56023,WY,1,0.0,0.4,92.3,4.5,0.3,15.9
,Platte,56031,WY,1,0.0,0.0,88.7,8.0,0.6,23.4
,Aguas Buenas,72007,PR,1,0.0,0.0,0.8,99.1,0.0,18.0
,Aibonito,72009,PR,1,0.0,0.0,0.1,99.5,0.0,18.9
,Añasco,72011,PR,1,0.0,0.0,3.1,96.2,0.0,19.1
,Arecibo,72013,PR,1,0.0,0.0,0.5,99.3,0.0,20.4
,Arroyo,72015,PR,1,0.0,0.0,0.2,99.7,0.0,17.9
,Barceloneta,72017,PR,1,0.0,0.0,0.1,99.7,0.0,18.2
,Barranquitas,72019,PR,1,0.0,0.0,0.0,100.0,0.0,14.4
,Cabo Rojo,72023,PR,1,0.0,0.0,0.1,99.8,0.0,21.8
,Caguas,72025,PR,1,0.0,0.0,0.8,98.9,0.0,18.9
,Camuy,72027,PR,1,0.0,0.0,0.6,99.3,0.0,18.5
,Canóvanas,72029,PR,1,0.0,0.0,0.1,99.7,0.0,15.8
,Cataño,72033,PR,1,0.0,0.0,0.6,98.9,0.3,18.0
,Cayey,72035,PR,1,0.0,0.0,0.2,99.7,0.0,19.1
,Ciales,72039,PR,1,0.0,0.0,0.8,99.1,0.0,18.4
,Coamo,72043,PR,1,0.0,0.0,0.5,99.4,0.0,16.5
,Comerio,72045,PR,1,0.0,0.0,0.4,99.4,0.0,16.7
,Corozal,72047,PR,1,0.0,0.0,0.9,98.9,0.0,16.7
,Culebra,72049,PR,1,0.0,0.4,7.3,92.1,0.0,21.8
,Dorado,72051,PR,1,0.0,0.0,1.4,98.4,0.0,16.2
,Florida,72054,PR,1,0.0,0.0,1.1,98.8,0.0,17.0
,Guánica,72055,PR,1,0.0,0.0,0.8,99.0,0.0,22.2
,Guayanilla,72059,PR,1,0.0,0.0,0.4,99.5,0.0,19.1
,Hatillo,72065,PR,1,0.0,0.0,0.1,99.8,0.0,18.7
,Humacao,72069,PR,1,0.0,0.0,0.5,99.2,0.0,20.0
,Jayuya,72073,PR,1,0.0,0.0,0.3,99.6,0.0,15.4
,Juana Diaz,72075,PR,1,0.0,0.0,0.1,99.8,0.0,16.3
,Juncos,72077,PR,1,0.0,0.0,0.6,99.2,0.0,14.9
,Lajas,72079,PR,1,0.0,0.0,0.1,99.6,0.0,22.7
,Lares,72081,PR,1,0.0,0.0,0.2,99.5,0.0,19.2
,Las Marias,72083,PR,1,0.0,0.0,0.5,99.4,0.0,18.9
,Maricao,72093,PR,1,0.0,0.0,0.1,99.8,0.0,18.3
,Maunabo,72095,PR,1,0.0,0.0,1.1,98.8,0.0,20.6
,Mayaguez,72097,PR,1,0.0,0.0,0.5,99.2,0.0,22.4
,Moca,72099,PR,1,0.0,0.0,0.3,99.1,0.0,16.1
,Morovis,72101,PR,1,0.0,0.0,0.3,99.4,0.0,14.6
,Naguabo,72103,PR,1,0.0,0.0,0.3,99.3,0.0,16.8
,Naranjito,72105,PR,1,0.0,0.0,0.1,99.8,0.0,17.5
,Patillas,72109,PR,1,0.0,0.0,0.2,99.7,0.0,20.0
,Penuelas,72111,PR,1,0.0,0.0,0.2,99.6,0.0,15.2
,Ponce,72113,PR,1,0.0,0.0,0.5,99.3,0.0,20.0
,Loiza,72087,PR,1,0.0,0.0,0.0,99.7,0.1,15.9
,Luquillo,72089,PR,1,0.0,0.0,1.0,98.4,0.0,20.1
,Highland,51091,VA,1,0.0,0.1,99.5,0.0,0.0,36.8
,Garfield,53023,WA,1,0.0,0.4,89.6,2.1,3.1,21.8
,Calhoun,54013,WV,1,0.0,0.1,97.2,2.0,0.0,22.7
,Clay,54015,WV,1,0.0,0.1,99.1,0.0,0.2,19.6
,Jackson,54035,WV,1,0.0,0.8,97.0,0.4,0.3,19.5
